instrument_id,stock_code,grid_sessions,both_days,raw_only_days,adj_only_days,neither_days,raw_only_or_neither_unexplained_days,cohort_included,cohort_reasons,independent_reasons,gate_a_status
1129,208860,1826,1826,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
1131,210120,90,90,0,0,0,0,False,WARMUP_250_COMPLETE_SESSIONS_UNAVAILABLE,WARMUP_250_COMPLETE_SESSIONS_UNAVAILABLE,EXCLUDED_WARMUP_ONLY
1132,211050,462,462,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
1133,211270,1926,1926,0,0,0,0,True,,,PASS
1134,212560,1996,1996,0,0,0,0,False,UNEXPLAINED_VENDOR_FACTOR,UNEXPLAINED_VENDOR_FACTOR,EXCLUDED_DATA_DEFECT
1136,213420,2189,2189,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
1137,214150,2152,2152,0,0,0,0,False,UNEXPLAINED_VENDOR_FACTOR,UNEXPLAINED_VENDOR_FACTOR,EXCLUDED_DATA_DEFECT
1138,214180,2093,2093,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
1139,214260,1022,1022,0,0,0,0,True,,,PASS
1140,214270,2159,2159,0,0,0,0,True,,,PASS
1141,214370,1997,1997,0,0,0,0,False,UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_DATA_DEFECT
1142,214430,2071,2071,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
1143,214450,2075,2075,0,0,0,0,True,,,PASS
