row_hash,issue_code,affected_scope,affected_from,affected_to,decision,severity,signal_blocking,details
2902ac554b7af641,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-06-30,2021-06-30,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0645041977960183}"
3d8da265c5e67141,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-01,2021-07-01,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9824775112443779}"
c0f9b332f5bc0c39,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-02,2021-07-02,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5755968169761273}"
37d8a7b5b4dd75af,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-02,2021-07-02,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0178350023843585}"
f315e3cae9102480,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-08,2021-07-08,QUARANTINE,WARNING,False,"{""factor_ratio"":0.2492753623188406}"
2dc1ac9f4623ad54,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-13,2021-07-13,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5000000000000000}"
8c038c0ff6d19815,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-15,2021-07-15,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9870176703930762}"
79914d645e4dffc6,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-16,2021-07-16,QUARANTINE,WARNING,False,"{""factor_ratio"":0.8958333333333334}"
779be2ab0584de1b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-16,2021-07-16,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9143665009600462}"
47eb932cbb93f4f3,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-16,2021-07-16,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9438350323655956}"
27cd58202067243b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-19,2021-07-19,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0174461088783340}"
e0ebe7de3677f189,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-19,2021-07-19,QUARANTINE,WARNING,False,"{""factor_ratio"":1.1402877697841727}"
6960f358cf57c414,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-20,2021-07-20,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9870176703930762}"
47ac97582a4e0259,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-07-21,2021-07-21,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9413901044255988}"
e7d14cab51dc7588,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-03,2021-08-03,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0869565217391304}"
a03bdd96e3f48685,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-06,2021-08-06,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5000000000000000}"
547e72e8fc3e22ac,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-06,2021-08-06,QUARANTINE,WARNING,False,"{""factor_ratio"":0.7147335423197492}"
cd9869a0ea2ed2e7,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-06,2021-08-06,QUARANTINE,WARNING,False,"{""factor_ratio"":0.7150000000000001}"
a34fdb499f3efc51,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-10,2021-08-10,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0470162748643760}"
cd232555c41841c6,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-11,2021-08-11,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9554334554334554}"
e270f57419318d9d,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-13,2021-08-13,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0400000000000000}"
4d828954176721de,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-19,2021-08-19,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9861485186610235}"
cac39fa97c051a5e,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-20,2021-08-20,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0137559808612440}"
91e712a33c9e7780,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-24,2021-08-24,QUARANTINE,WARNING,False,"{""factor_ratio"":1.6345077221014144}"
387da8af4cb291e3,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-25,2021-08-25,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9584859584859584}"
bc5b97f6b0436076,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-27,2021-08-27,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0178350023843585}"
